Data,Dia Semana,Hora Inicio,Hora Fim,Nome,Id Funcionario,Bloqueio,Otimizacao
23/06/2022,Quinta,21:00:00,23:59:59,Funcionario 11,11,False,False
24/06/2022,Sexta,00:00:00,08:00:00,Funcionario 11,11,False,False
24/06/2022,Sexta,21:00:00,23:59:59,Funcionario 14,14,False,False
25/06/2022,Sábado,00:00:00,12:00:00,Funcionario 14,14,False,False
25/06/2022,Sábado,12:00:00,23:59:59,Funcionario 9,9,False,False
26/06/2022,Domingo,00:00:00,12:00:00,Funcionario 9,9,False,False
26/06/2022,Domingo,12:00:00,23:59:59,Funcionario 1,1,False,False
27/06/2022,Segunda,00:00:00,08:00:00,Funcionario 1,1,False,False
27/06/2022,Segunda,21:00:00,23:59:59,Funcionario 9,9,False,False
28/06/2022,Terça,00:00:00,08:00:00,Funcionario 9,9,False,False
28/06/2022,Terça,21:00:00,23:59:59,Funcionario 1,1,False,False
29/06/2022,Quarta,00:00:00,08:00:00,Funcionario 1,1,False,False
29/06/2022,Quarta,21:00:00,23:59:59,Funcionario 9,9,False,False
30/06/2022,Quinta,00:00:00,08:00:00,Funcionario 9,9,False,False
